MS DRG Code,MS DRG,MS DRG Description,CMS MS DRG Weight,Geometric Mean LOS,Arithmetic Mean LOS
019,019 - SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT WITH HEMODIALYSIS,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT WITH HEMODIALYSIS,6.6797,11.0,12.9
020,020 - INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC,10.3370,12.7,16.1
021,021 - INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH CC,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH CC,7.5435,10.0,12.3
022,022 - INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC,4.8428,4.0,5.8
023,023 - CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY WITH NEUROSTIMULATOR,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY WITH NEUROSTIMULATOR,5.6719,7.1,9.8
024,024 - CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MCC,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MCC,3.9390,4.1,5.2
025,025 - CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,4.4974,6.6,8.8
026,026 - CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,3.0620,3.8,5.3
027,027 - CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,2.5143,1.9,2.5
028,028 - SPINAL PROCEDURES WITH MCC,SPINAL PROCEDURES WITH MCC,5.8231,9.3,12.2
029,029 - SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS,3.2968,4.5,6.0
030,030 - SPINAL PROCEDURES WITHOUT CC/MCC,SPINAL PROCEDURES WITHOUT CC/MCC,2.3568,2.4,3.1
031,031 - VENTRICULAR SHUNT PROCEDURES WITH MCC,VENTRICULAR SHUNT PROCEDURES WITH MCC,4.3717,7.2,10.3
032,032 - VENTRICULAR SHUNT PROCEDURES WITH CC,VENTRICULAR SHUNT PROCEDURES WITH CC,2.2165,3.0,4.3
033,033 - VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC,VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC,1.7222,1.7,2.2
034,034 - CAROTID ARTERY STENT PROCEDURES WITH MCC,CAROTID ARTERY STENT PROCEDURES WITH MCC,3.9781,4.7,7.0
035,035 - CAROTID ARTERY STENT PROCEDURES WITH CC,CAROTID ARTERY STENT PROCEDURES WITH CC,2.3397,2.1,3.0
036,036 - CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,1.8523,1.2,1.4
037,037 - EXTRACRANIAL PROCEDURES WITH MCC,EXTRACRANIAL PROCEDURES WITH MCC,3.2776,5.0,7.3
038,038 - EXTRACRANIAL PROCEDURES WITH CC,EXTRACRANIAL PROCEDURES WITH CC,1.6588,2.1,3.0
039,039 - EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,1.1391,1.2,1.4
040,"040 - PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC","PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC",3.8648,6.9,10.0
041,"041 - PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH CC OR PERIPHERAL NEUROSTIMULATOR","PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH CC OR PERIPHERAL NEUROSTIMULATOR",2.3497,3.9,4.9
042,"042 - PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHOUT CC/MCC","PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHOUT CC/MCC",1.9012,2.4,2.9
052,052 - SPINAL DISORDERS AND INJURIES WITH CC/MCC,SPINAL DISORDERS AND INJURIES WITH CC/MCC,1.8535,4.2,6.0
053,053 - SPINAL DISORDERS AND INJURIES WITHOUT CC/MCC,SPINAL DISORDERS AND INJURIES WITHOUT CC/MCC,1.1364,2.8,3.7
054,054 - NERVOUS SYSTEM NEOPLASMS WITH MCC,NERVOUS SYSTEM NEOPLASMS WITH MCC,1.3683,3.8,5.2
055,055 - NERVOUS SYSTEM NEOPLASMS WITHOUT MCC,NERVOUS SYSTEM NEOPLASMS WITHOUT MCC,1.0446,3.0,4.1
056,056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC,2.1953,5.5,8.3
057,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,1.2675,3.9,5.8
058,058 - MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH MCC,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH MCC,1.7378,4.9,7.1
059,059 - MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH CC,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH CC,1.1273,3.6,4.6
060,060 - MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITHOUT CC/MCC,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITHOUT CC/MCC,0.9177,3.0,3.6
061,"061 - ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH MCC","ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH MCC",2.8912,4.7,6.2
062,"062 - ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH CC","ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH CC",1.9883,3.2,3.7
063,"063 - ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITHOUT CC/MCC","ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITHOUT CC/MCC",1.7097,2.3,2.6
064,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,1.9189,4.4,6.1
065,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,1.0200,2.9,3.6
066,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,0.7116,2.0,2.4
067,067 - NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITH MCC,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITH MCC,1.4258,3.3,4.4
068,068 - NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC,0.8889,2.1,2.6
069,069 - TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,0.7871,2.1,2.5
070,070 - NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC,1.6796,4.5,6.2
071,071 - NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC,1.0118,3.3,4.4
072,072 - NONSPECIFIC CEREBROVASCULAR DISORDERS WITHOUT CC/MCC,NONSPECIFIC CEREBROVASCULAR DISORDERS WITHOUT CC/MCC,0.7717,2.3,2.9
073,073 - CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MCC,CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MCC,1.4529,3.7,5.1
074,074 - CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC,CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC,1.0190,2.9,3.6
075,075 - VIRAL MENINGITIS WITH CC/MCC,VIRAL MENINGITIS WITH CC/MCC,1.6270,4.7,6.1
076,076 - VIRAL MENINGITIS WITHOUT CC/MCC,VIRAL MENINGITIS WITHOUT CC/MCC,0.9849,3.0,3.6
077,077 - HYPERTENSIVE ENCEPHALOPATHY WITH MCC,HYPERTENSIVE ENCEPHALOPATHY WITH MCC,1.5329,4.0,5.2
078,078 - HYPERTENSIVE ENCEPHALOPATHY WITH CC,HYPERTENSIVE ENCEPHALOPATHY WITH CC,0.9499,2.8,3.5
079,079 - HYPERTENSIVE ENCEPHALOPATHY WITHOUT CC/MCC,HYPERTENSIVE ENCEPHALOPATHY WITHOUT CC/MCC,0.7288,2.0,2.4
080,080 - NONTRAUMATIC STUPOR AND COMA WITH MCC,NONTRAUMATIC STUPOR AND COMA WITH MCC,2.0954,5.1,7.5
081,081 - NONTRAUMATIC STUPOR AND COMA WITHOUT MCC,NONTRAUMATIC STUPOR AND COMA WITHOUT MCC,0.7732,2.5,3.3
082,082 - TRAUMATIC STUPOR AND COMA >1 HOUR WITH MCC,TRAUMATIC STUPOR AND COMA >1 HOUR WITH MCC,2.2639,4.2,6.4
083,083 - TRAUMATIC STUPOR AND COMA >1 HOUR WITH CC,TRAUMATIC STUPOR AND COMA >1 HOUR WITH CC,1.3440,3.3,4.3
084,084 - TRAUMATIC STUPOR AND COMA >1 HOUR WITHOUT CC/MCC,TRAUMATIC STUPOR AND COMA >1 HOUR WITHOUT CC/MCC,0.9056,2.1,2.6
085,085 - TRAUMATIC STUPOR AND COMA <1 HOUR WITH MCC,TRAUMATIC STUPOR AND COMA <1 HOUR WITH MCC,2.3117,4.6,6.5
086,086 - TRAUMATIC STUPOR AND COMA <1 HOUR WITH CC,TRAUMATIC STUPOR AND COMA <1 HOUR WITH CC,1.2745,3.0,3.9
087,087 - TRAUMATIC STUPOR AND COMA <1 HOUR WITHOUT CC/MCC,TRAUMATIC STUPOR AND COMA <1 HOUR WITHOUT CC/MCC,0.8636,2.0,2.4
088,088 - CONCUSSION WITH MCC,CONCUSSION WITH MCC,1.4552,3.6,4.7
089,089 - CONCUSSION WITH CC,CONCUSSION WITH CC,1.0635,2.7,3.3
090,090 - CONCUSSION WITHOUT CC/MCC,CONCUSSION WITHOUT CC/MCC,0.8546,1.9,2.3
091,091 - OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC,OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC,1.6508,4.2,5.8
092,092 - OTHER DISORDERS OF NERVOUS SYSTEM WITH CC,OTHER DISORDERS OF NERVOUS SYSTEM WITH CC,0.9889,3.0,3.9
093,093 - OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT CC/MCC,OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT CC/MCC,0.7822,2.2,2.8
094,094 - BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH MCC,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH MCC,3.6379,8.0,10.7
095,095 - BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH CC,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH CC,2.5073,5.8,7.2
096,096 - BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITHOUT CC/MCC,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITHOUT CC/MCC,2.3327,4.2,5.0
097,097 - NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH MCC,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH MCC,3.7604,8.7,11.9
098,098 - NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH CC,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH CC,2.1125,5.6,7.3
099,099 - NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITHOUT CC/MCC,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITHOUT CC/MCC,1.4019,3.9,4.8
100,100 - SEIZURES WITH MCC,SEIZURES WITH MCC,1.8764,4.3,6.0
101,101 - SEIZURES WITHOUT MCC,SEIZURES WITHOUT MCC,0.8884,2.6,3.4
102,102 - HEADACHES WITH MCC,HEADACHES WITH MCC,1.1531,3.0,4.1
103,103 - HEADACHES WITHOUT MCC,HEADACHES WITHOUT MCC,0.8295,2.3,3.0
113,113 - ORBITAL PROCEDURES WITH CC/MCC,ORBITAL PROCEDURES WITH CC/MCC,2.1944,4.5,6.3
114,114 - ORBITAL PROCEDURES WITHOUT CC/MCC,ORBITAL PROCEDURES WITHOUT CC/MCC,1.4476,2.3,2.8
115,115 - EXTRAOCULAR PROCEDURES EXCEPT ORBIT,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,1.4566,3.5,4.5
116,116 - INTRAOCULAR PROCEDURES WITH CC/MCC,INTRAOCULAR PROCEDURES WITH CC/MCC,1.8827,4.1,6.1
117,117 - INTRAOCULAR PROCEDURES WITHOUT CC/MCC,INTRAOCULAR PROCEDURES WITHOUT CC/MCC,1.0412,2.1,2.8
121,121 - ACUTE MAJOR EYE INFECTIONS WITH CC/MCC,ACUTE MAJOR EYE INFECTIONS WITH CC/MCC,1.1906,4.2,5.5
122,122 - ACUTE MAJOR EYE INFECTIONS WITHOUT CC/MCC,ACUTE MAJOR EYE INFECTIONS WITHOUT CC/MCC,0.6455,3.0,3.8
123,123 - NEUROLOGICAL EYE DISORDERS,NEUROLOGICAL EYE DISORDERS,0.7668,2.0,2.5
124,124 - OTHER DISORDERS OF THE EYE WITH MCC,OTHER DISORDERS OF THE EYE WITH MCC,1.4020,3.7,5.1
125,125 - OTHER DISORDERS OF THE EYE WITHOUT MCC,OTHER DISORDERS OF THE EYE WITHOUT MCC,0.8370,2.5,3.3
129,129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,2.2893,3.7,5.0
130,130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,1.4456,2.2,2.8
131,131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,CRANIAL/FACIAL PROCEDURES W CC/MCC,2.6893,3.9,5.6
132,132 - CRANIAL/FACIAL PROCEDURES W/O CC/MCC,CRANIAL/FACIAL PROCEDURES W/O CC/MCC,1.5895,1.9,2.4
133,"133 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC","OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",2.1469,3.8,5.8
134,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC","OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",1.2091,1.9,2.4
135,135 - SINUS AND MASTOID PROCEDURES WITH CC/MCC,SINUS AND MASTOID PROCEDURES WITH CC/MCC,2.1435,4.0,5.7
136,136 - SINUS AND MASTOID PROCEDURES WITHOUT CC/MCC,SINUS AND MASTOID PROCEDURES WITHOUT CC/MCC,1.2555,1.6,2.2
137,137 - MOUTH PROCEDURES WITH CC/MCC,MOUTH PROCEDURES WITH CC/MCC,1.5097,3.7,5.0
138,138 - MOUTH PROCEDURES WITHOUT CC/MCC,MOUTH PROCEDURES WITHOUT CC/MCC,0.8565,1.9,2.4
139,139 - SALIVARY GLAND PROCEDURES,SALIVARY GLAND PROCEDURES,1.2341,2.3,3.2
140,140 - MAJOR HEAD AND NECK PROCEDURES WITH MCC,MAJOR HEAD AND NECK PROCEDURES WITH MCC,3.9779,7.0,9.2
141,141 - MAJOR HEAD AND NECK PROCEDURES WITH CC,MAJOR HEAD AND NECK PROCEDURES WITH CC,2.2061,3.3,4.4
142,142 - MAJOR HEAD AND NECK PROCEDURES WITHOUT CC/MCC,MAJOR HEAD AND NECK PROCEDURES WITHOUT CC/MCC,1.6051,2.1,2.7
143,"143 - OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH MCC","OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH MCC",2.9798,5.8,8.0
144,"144 - OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH CC","OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH CC",1.7615,3.1,4.2
145,"145 - OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITHOUT CC/MCC","OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITHOUT CC/MCC",1.2246,1.9,2.4
146,"146 - EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH MCC","EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH MCC",2.0411,5.1,7.4
147,"147 - EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH CC","EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH CC",1.3011,3.4,4.9
148,"148 - EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITHOUT CC/MCC","EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITHOUT CC/MCC",0.7870,2.2,3.0
149,149 - DYSEQUILIBRIUM,DYSEQUILIBRIUM,0.7370,2.0,2.4
150,150 - EPISTAXIS WITH MCC,EPISTAXIS WITH MCC,1.3275,3.4,4.6
151,151 - EPISTAXIS WITHOUT MCC,EPISTAXIS WITHOUT MCC,0.7384,2.1,2.6
152,152 - OTITIS MEDIA AND URI WITH MCC,OTITIS MEDIA AND URI WITH MCC,1.0805,3.1,4.0
153,153 - OTITIS MEDIA AND URI WITHOUT MCC,OTITIS MEDIA AND URI WITHOUT MCC,0.7132,2.3,2.8
154,"154 - OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH MCC","OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH MCC",1.5468,3.9,5.3
155,"155 - OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC","OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC",0.9095,2.9,3.5
156,"156 - OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITHOUT CC/MCC","OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITHOUT CC/MCC",0.6584,2.1,2.5
157,157 - DENTAL AND ORAL DISEASES WITH MCC,DENTAL AND ORAL DISEASES WITH MCC,1.5762,4.3,5.8
158,158 - DENTAL AND ORAL DISEASES WITH CC,DENTAL AND ORAL DISEASES WITH CC,0.9002,2.8,3.4
159,159 - DENTAL AND ORAL DISEASES WITHOUT CC/MCC,DENTAL AND ORAL DISEASES WITHOUT CC/MCC,0.6631,2.1,2.4
163,163 - MAJOR CHEST PROCEDURES WITH MCC,MAJOR CHEST PROCEDURES WITH MCC,5.0068,9.2,11.6
164,164 - MAJOR CHEST PROCEDURES WITH CC,MAJOR CHEST PROCEDURES WITH CC,2.6556,4.4,5.4
165,165 - MAJOR CHEST PROCEDURES WITHOUT CC/MCC,MAJOR CHEST PROCEDURES WITHOUT CC/MCC,1.9166,2.6,3.1
166,166 - OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC,3.7235,7.9,10.6
167,167 - OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH CC,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH CC,1.8187,3.7,5.0
168,168 - OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITHOUT CC/MCC,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITHOUT CC/MCC,1.3544,2.0,2.5
175,175 - PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,1.5460,4.1,5.1
176,176 - PULMONARY EMBOLISM WITHOUT MCC,PULMONARY EMBOLISM WITHOUT MCC,0.8878,2.6,3.2
177,177 - RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,1.8491,5.4,6.8
178,178 - RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,1.2078,4.0,5.0
179,179 - RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,0.8727,3.0,3.7
180,180 - RESPIRATORY NEOPLASMS WITH MCC,RESPIRATORY NEOPLASMS WITH MCC,1.7399,4.9,6.4
181,181 - RESPIRATORY NEOPLASMS WITH CC,RESPIRATORY NEOPLASMS WITH CC,1.1201,3.3,4.2
182,182 - RESPIRATORY NEOPLASMS WITHOUT CC/MCC,RESPIRATORY NEOPLASMS WITHOUT CC/MCC,0.7920,2.2,2.7
183,183 - MAJOR CHEST TRAUMA WITH MCC,MAJOR CHEST TRAUMA WITH MCC,1.5589,4.3,5.5
184,184 - MAJOR CHEST TRAUMA WITH CC,MAJOR CHEST TRAUMA WITH CC,1.0409,3.1,3.7
185,185 - MAJOR CHEST TRAUMA WITHOUT CC/MCC,MAJOR CHEST TRAUMA WITHOUT CC/MCC,0.7749,2.4,2.8
186,186 - PLEURAL EFFUSION WITH MCC,PLEURAL EFFUSION WITH MCC,1.5438,4.3,5.6
187,187 - PLEURAL EFFUSION WITH CC,PLEURAL EFFUSION WITH CC,1.0329,3.2,4.0
188,188 - PLEURAL EFFUSION WITHOUT CC/MCC,PLEURAL EFFUSION WITHOUT CC/MCC,0.7295,2.4,3.0
189,189 - PULMONARY EDEMA AND RESPIRATORY FAILURE,PULMONARY EDEMA AND RESPIRATORY FAILURE,1.2261,3.6,4.6
190,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,1.1251,3.6,4.4
