Provider ID,Provider name,Provider Service
PHY_003842,"Strickland, J",Internal Medicine
PHY_003849,"Frost, J",Internal Medicine
PHY_003851,"Harris, N",Pediatrics
PHY_003860,"Watkins, I",Family Medicine
PHY_003866,"Spears, N",Internal Medicine
PHY_003883,"Gordon, P",Pediatrics
PHY_003889,"Pratt, O",Pediatrics
PHY_003897,"Pittman, J",Endocrinology
PHY_003903,"Dyer, R",Orthopedic Surgery
PHY_003906,"Sears, Q",Family Medicine
PHY_003911,"Joyner, N",Family Medicine
PHY_003941,"Greene, S",OB/Gyn
PHY_003953,"Kinney, V",Family Medicine
PHY_003975,"Durham, P",General Surgery
PHY_004032,"Bond, I",Pediatrics
PHY_004042,"Key, T",Internal Medicine
PHY_004068,"Horn, O",Obstetrics/Gynecology
PHY_004083,"Burns, R",General Surgery
PHY_004084,"Dale, Q",Obstetrics/Gynecology
PHY_004087,"English, S",General Surgery
PHY_004134,"Nieves, B",Internal Medicine
PHY_004137,"Swanson, T",Thoracic Surgery
PHY_004158,"Hayden, G",Family Medicine
PHY_004165,"Fitzgerald, Q",OB/Gyn
PHY_004184,"Ramos, F",Internal Medicine
PHY_004185,"Patterson, M",Urologic Surgery
PHY_004189,"Hayes, L",Pediatric Endocrinology
PHY_004196,"Kramer, H",General Surgery
PHY_004207,"Payne, F",Internal Medicine
PHY_004250,"Roy, N",Family Medicine
PHY_004277,"Cote, N",Internal Medicine
PHY_004303,"Mcbride, N",Cardiology
PHY_004309,"Moss, P",Surgery/Trauma Surgery
PHY_004327,"Goff, U",Pediatric Hematology/Oncology
PHY_004340,"Munoz, C",Orthopedic Surgery
PHY_004367,"Harding, P",Internal Medicine
PHY_004380,"Kim, M",Internal Medicine
PHY_004384,"Murray, F",Internal Medicine
PHY_004412,"Maddox, V",Family Medicine
PHY_004421,"Bright, M",Internal Medicine
PHY_004452,"Decker, G",Internal Medicine
PHY_004473,"Morales, R",Internal Medicine
PHY_004477,"Wong, N",Orthopedic Surgery
PHY_004495,"Mcdonald, D",Internal Medicine
PHY_004508,"Harper, A",Neonatology
PHY_004513,"Ramirez, P",Family Medicine
PHY_004522,"Roach, R",Gynecologic Oncology
PHY_004523,"Walton, Z",Family Medicine
PHY_004528,"Owen, T",Internal Medicine
PHY_004541,"Meyers, B",Internal Medicine
PHY_004551,"Ellison, H",OB/Gyn
PHY_004591,"Greer, A",Internal Medicine
PHY_004597,"Daniel, Z",Internal Medicine
PHY_004602,"Bruce, B",Internal Medicine
PHY_004616,"Joseph, L",Internal Medicine
PHY_004629,"Conway, D",Family Medicine
PHY_004639,"Parsons, L",Internal Medicine
PHY_004658,"Palmer, G",Internal Medicine
PHY_004667,"Compton, F",Internal Medicine
PHY_004668,"Frank, U",Family Medicine
PHY_004676,"Stevens, B",Internal Medicine
PHY_004679,"Fitzgerald, H",Internal Medicine
PHY_004692,"Workman, K",General Surgery
PHY_004701,"Dudley, W",Family Medicine
PHY_004707,"Richard, W",Internal Medicine
PHY_004709,"Barton, H",Internal Medicine
PHY_004723,"Santos, K",Internal Medicine
PHY_004729,"Green, C",OB/Gyn
PHY_004745,"Carson, L",General Surgery
PHY_004757,"Carr, O",Internal Medicine
PHY_004760,"Pratt, M",Internal Medicine
PHY_004764,"Byers, W",Internal Medicine
PHY_004768,"Rasmussen, H",Family Medicine
PHY_004777,"Mullen, H",Internal Medicine
PHY_004790,"Mclaughlin, L",Internal Medicine
PHY_004810,"Cote, P",Internal Medicine
PHY_004850,"Delaney, Z",Neonatology
PHY_004855,"Landry, N",Internal Medicine
PHY_004862,"Malone, R",Neurosurgery
PHY_004936,"Hansen, M",Neonatology
PHY_004939,"Lawrence, T",Neonatology
PHY_004965,"Bush, T",Internal Medicine
PHY_004990,"Huff, K",Internal Medicine
PHY_005012,"Alvarez, L",Ent-Otolaryngology
PHY_005016,"Hoffman, D",Internal Medicine
PHY_005046,"Dunn, Q",Neonatology
PHY_005172,"Rios, I",Internal Medicine
PHY_005230,"Ortega, K",Internal Medicine
PHY_005581,"Fisher, M",OB/Gyn
PHY_005930,"Vargas, D",Vascular Surgery
PHY_006138,"Wells, F",
PHY_006173,"White, M",
PHY_007007,"Le, I",
PHY_012926,"Burt, D",
PHY_013134,"Carson, L",
PHY_013480,"Holland, K",
PHY_014678,"Hodges, Q",
PHY_015134,"Mack, Z",
PHY_015190,"Roberson, R",
PHY_015320,"Valencia, Q",
PHY_015736,"Flowers, N",
PHY_016863,"Barnett, U",Respiratory Therapy
PHY_016905,"Reynolds, N",
PHY_018128,"Mullen, F",Physical Therapy
PHY_018189,"Mooney, B",
PHY_018802,"Duran, F",
PHY_019365,"Hinton, C",
PHY_019456,"Barry, B",Physician Assistant
PHY_019528,"Burns, M",Physician Assistant
PHY_019691,"Moss, M",Physician Assistant
PHY_019730,"Strong, Q",Cardiology
PHY_019748,"Elliott, A",
PHY_019749,"Hahn, C",
PHY_019909,"Blake, L",
PHY_019982,"Baker, G",
PHY_020191,"Nielsen, N",
PHY_020854,"Romero, B",Emergency Medicine
PHY_021259,"Mcknight, A",Physical Therapy
PHY_023316,"Charles, W",
PHY_024856,"Barrera, A",
PHY_025207,"Benton, B",Nurse Practitioner
PHY_025216,"Hayes, M",Medical Administration
PHY_025235,"Mccullough, Q",
PHY_025241,"Woods, Q",
PHY_025248,"Bauer, F",
PHY_025250,"Kemp, A",
PHY_025305,"Olson, V",
PHY_026218,"Christian, L",
PHY_026222,"Noel, F",
PHY_026223,"Vaughn, Y",
PHY_026225,"Mcmillan, T",
PHY_026229,"Cruz, W",
PHY_026231,"Lowe, I",
PHY_026402,"Boyer, I",OB/Gyn
PHY_026404,"Carpenter, S",Certified Nurse Midwife
PHY_026410,"Mathis, B",Certified Nurse Midwife
PHY_026412,"Pratt, K",Nurse Practitioner
PHY_026417,"Young, L",Physician Assistant
PHY_026418,"Benjamin, N",Physician Assistant
PHY_026421,"Mcfarland, I",Physician Assistant
PHY_026423,"Trujillo, P",Certified Registered Nurse Anesthetist
PHY_026424,"Berger, C",Certified Registered Nurse Anesthetist
PHY_026425,"Bernard, V",Nurse Practitioner
PHY_026427,"Mercer, H",Certified Nurse Midwife
PHY_026428,"Oliver, M",Certified Registered Nurse Anesthetist
PHY_026430,"Crawford, J",Anesthesiologist Assistant
PHY_026431,"Edwards, N",Nurse Practitioner
PHY_026545,"Espinoza, Z",Orthopedic Surgery
PHY_026552,"Schwartz, V",Nutrition
PHY_026555,"Fernandez, W",Nutrition
PHY_026562,"Sellers, H",Nutrition
PHY_026598,"Riley, S",Orthopedic Surgery
PHY_026604,"Leon, L",Certified Nurse Midwife
PHY_026605,"Norton, U",Certified Nurse Midwife
PHY_026618,"Henderson, W",
PHY_026624,"Lopez, T",
PHY_026625,"Malone, A",
