Charge Code,Charge Description
5187,"FIX LID PTOSIS,FRONT MUSC,FAS SLNG"
5188,"FIX LID PTOSIS,LEVATR RESEC,INTERN"
5189,"FIX LID PTOSIS,LEVATR RESEC,EXTERN"
5190,"FIX LID PTOSIS,SUPER RECTUS TECH"
5191,"FIX LID PTOSIS,FASANELLA-SERVAT"
5192,REDN OVERCORRECTN OF LID PTOSIS
5193,CORRECT LID RETRACTN
5194,"FIX ECTROPION,SUTURE"
5195,"FIX ECTROPION,THERMOCAUT"
5196,"FIX ECTROPION,EXCIS TARSAL WEDGE"
5197,"FIX ECTROPION,ENTENSV LID REPAIR"
5198,"FIX ENTROPION,SUTURE"
5199,"FIX ENTROPION,THERMOCAUT"
5200,"FIX ENTROPION,EXCIS TARSAL WEDGE"
5201,"FIX ENTROPION,EXTENSV LID REPAIR"
5202,"SUTURE EYELID WOUND,PARTIAL THICK"
5203,"SUTURE EYELID WOUND,FULL THICK"
5204,"REMOVE EYELID FOREIGN BODY,EMBEDDED"
5205,CANTHOPLASTY
5206,"REVISION OF EYELID,< 1/4 LID MARGIN"
5207,"REVISION OF EYELID,> 1/4 LID MARGIN"
5208,"RECONSTRUC EYELID,<2/3,ONE STAGE"
5209,"RECONSTRUC EYELID,TOT LOWER,1 STAGE"
5210,"RECONSTRUC EYELID,TOT UPPER,1 STAGE"
5211,"RECONSTRUC EYELID,SECOND STAGE"
5212,REVISION EYELID UNLISTED
5213,INCISE/DRAIN CONJUNCTIVA
5214,EXPRESS CONJUNC FOLLICLES
5215,BIOPSY OF CONJUNCTIVA
5216,"EXCIS CONJUNC LESN,=<1 CM"
5217,"EXCIS CONJUNC LESN,>1 CM"
5218,EXCIS CONJUNC LESN+ADJ SCLERA
5219,DESTRUC CONJUNC LESN
5220,SUBCONJUNCTIVAL INJECTN
5221,"REVISE CONJUNC,CONJUNC GRFT"
5222,"REVISE CONJUNC,BUCCAL MEMBR GRFT"
5223,"REVISE CONJUNC,FIX CUL-DE-SAC+GRFT"
5224,"REVISE CONJUNC,FIX CUL-DE-SAC=BUCCAL"
5225,REPAIR SYMBLEPHARON
5226,REPAIR SYMBLEPHARON+FREE GRFT
5227,DIVISION OF SYMBLEPHARON
5228,"CONJUNC FLAP,BRIDGE/PARTIAL"
5229,"CONJUNC FLAP,TOTAL"
5230,CONJUNCTIVAL SURGERY UNLISTED
5231,INCISE/DRAIN TEAR GLAND
5232,INCISE/DRAIN TEAR SAC
5233,INCISE TEAR DUCT OPENING
5234,"REMOVAL TEAR GLAND,TOTAL"
5235,"REMOVAL TEAR GLAND,PARTIAL"
5236,BIOPSY OF TEAR GLAND
5237,REMOVAL OF TEAR SAC
5238,BIOPSY OF TEAR SAC
5239,REMV F.B./STONE IN TEAR DUCT
5240,"REMV TEAR GLAND LESN,FRONT APPRCH"
5241,"REMV TEAR GLAND LESN,W OSTEOTOMY"
5242,REPAIR TEAR DUCTS
5243,REVISE TEAR DUCT OPENING
5244,CREATE TEAR SAC-NASAL FISTULA
5245,CREATE CONJUNC-NASAL FISTULA
6955,"AG DETECT NOS, EIA, MULT, POLYVALENT, EA"
6956,"BARTONELLA, DNA, DIR PROBE"
6957,"BARTONELLA, DNA, AMP PROBE"
6958,"BARTONELLA, DNA, QUANT"
6959,"LYME DIS, DNA, DIR PROBE"
6960,"LYME DIS, DNA, AMP PROBE"
6961,"LYME DIS, DNA, QUANT"
6962,"CANDIDA, DNA, DIR PROBE"
6963,"CANDIDA, DNA, AMP PROBE"
6964,"CANDIDA, DNA, QUANT"
6965,"CHYLMD PNEUM, DNA, DIR PROBE"
6966,"CHYLMD PNEUM, DNA, AMP PROBE"
6967,"CHYLMD PNEUM, DNA, QUANT"
6968,"CHYLMD TRACH, DNA, DIR PROBE"
6969,"CHYLMD TRACH, DNA, AMP PROBE"
6970,"CHYLMD TRACH, DNA, QUANT"
6971,"CYTOMEG, DNA, DIR PROBE"
6972,"CYTOMEG, DNA, AMP PROBE"
6973,"CYTOMEG, DNA, QUANT"
6974,"GARDNER VAG, DNA, DIR PROBE"
6975,"GARDNER VAG, DNA, AMP PROBE"
6976,"GARDNER VAG, DNA, QUANT"
6977,"HEPATITIS B, DNA, DIR PROBE"
6978,"HEPATITIS B , DNA, AMP PROBE"
6979,"HEPATITIS B , DNA, QUANT"
6980,"HEPATITIS C , RNA, DIR PROBE"
6981,"HEPATITIS C , RNA, AMP PROBE"
6982,"HEPATITIS C, RNA, QUANT"
6983,"HEPATITIS G , DNA, DIR PROBE"
6984,"HEPATITIS G, DNA, AMP PROBE"
6985,"HEPATITIS G, DNA, QUANT"
6986,"HSV, DNA, DIR PROBE"
6987,"HSV, DNA, AMP PROBE"
6988,"HSV, DNA, QUANT"
6989,"HHV-6, DNA, DIR PROBE"
6990,"HHV-6, DNA, AMP PROBE"
6991,"HHV-6, DNA, QUANT"
6992,"HIV-1, DNA, DIR PROBE"
6993,"HIV-1, DNA, AMP PROBE"
6994,"HIV-1, DNA, QUANT"
6995,"HIV-2, DNA, DIR PROBE"
6996,"HIV-2, DNA, AMP PROBE"
6997,"HIV-2, DNA, QUANT"
6998,"LEGION PNEUMO, DNA, DIR PROB"
6999,"LEGION PNEUMO, DNA, AMP PROB"
7000,"LEGION PNEUMO, DNA, QUANT"
7001,"MYCOBACTERIA, DNA, DIR PROBE"
7002,"MYCOBACTERIA, DNA, AMP PROBE"
7003,"MYCOBACTERIA, DNA, QUANT"
7004,"M.TUBERCULO, DNA, DIR PROBE"
7005,"M.TUBERCULO, DNA, AMP PROBE"
7006,"M.TUBERCULO, DNA, QUANT"
7007,"M.AVIUM-INTRA, DNA, DIR PROB"
7008,"M.AVIUM-INTRA, DNA, AMP PROB"
7009,"M.AVIUM-INTRA, DNA, QUANT"
7010,"M.PNEUMON, DNA, DIR PROBE"
7011,"M.PNEUMON, DNA, AMP PROBE"
7012,"M.PNEUMON, DNA, QUANT"
7013,"N.GONORRHOEAE, DNA, DIR PROB"
7014,"N.GONORRHOEAE, DNA, AMP PROB"
7015,"N.GONORRHOEAE, DNA, QUANT"
7016,"HPV, DNA, DIR PROBE"
7017,"HPV, DNA, AMP PROBE"
7018,"HPV, DNA, QUANT"
7019,"STREP A, DNA, DIR PROBE"
7020,"STREP A, DNA, AMP PROBE"
7021,"STREP A, DNA, QUANT"
7022,"DETECT AGENT NOS, DNA, DIR"
7023,"DETECT AGENT NOS, DNA, AMP"
7024,"DETECT AGENT NOS, DNA, QUANT"
7025,"DETECT AGENT, MULT ORGS, DNA, DIR"
7026,"DETECT AGENT, MULT ORGS, DNA, AMP"
7027,"DETECT AGENT,IMMUN,DIR OBS,STREP B"
7028,"DETECT AGENT,IMMUN,DIR OBS,C DIFF TOXIN"
7029,"DETECT AGENT,IMMUN,DIR OBS,INFLUENZA"
7030,CHYLMD TRACH ASSAY W/OPTIC
7031,N. GONORRHOEAE ASSAY W/OPTIC
7032,STREP A ASSAY W/OPTIC
7033,AGENT NOS ASSAY W/OPTIC
7034,"HIV 1, GENOTYPE ANAL DNA"
7035,"HEPATITIS C VIRUS, GENOTYPE ANAL DNA/RNA"
7036,"HIV 1,PHENOTYP ANALYS DNA/RNA,1-10 DRUGS"
7037,"HIV 1,PHENOTY ANALY DNA/RNA,EA ADDL DRUG"
7038,MICROBIOLOGY PROCEDURE UNLISTED
7039,"AUTOPSY GROSS,W/O CNS"
7040,"AUTOPSY GROSS,W BRAIN"
7041,"AUTOPSY GROSS,W BRAIN/SP CORD"
7042,"AUTOPSY GROSS,INFANT W BRAIN"
7043,"AUTOPSY GROSS,NEWBORN W BRAIN"
7044,"AUTOPSY GROSS,MACERATED STILLBORN"
7045,"AUTOPSY COMPL,W/O CNS"
7046,"AUTOPSY COMPL,W BRAIN"
7047,"AUTOPSY COMPL,W BRAIN/SP CORD"
7048,"AUTOPSY COMPL,INFANT W BRAIN"
7049,"AUTOPSY COMPL,NEWBORN W BRAIN"
7050,"LTD AUTOPSY,REGIONAL"
7051,"LTD AUTOPSY,SINGLE ORGAN"
7052,FORENSIC AUTOPSY (NECROPSY)
7053,CORONER'S AUTOPSY (NECROPSY)
7054,NECROPSY (AUTOPSY) UNLISTED
7055,"CYTOPATH FLUIDS,SMEAR,INTERP"
7056,"CYTOPATH FLUIDS,FILTER,INTERP"
7057,"CYTOPATH FLUIDS,SMEAR/FILTER,INTERP"
7058,"CYTOPATH FLUIDS,CONCENTRATN,INTERP"
7059,FORENSIC CYTOPATHOLOGY
7060,"SEX CHROMATIN ID,BARR BODIES"
7061,"SEX CHROMATIN ID,PMN  DRUMSTICK"
7062,CYTOPATH CERV/VAG INTERPRET
7063,CYTOPATH CERV/VAG THIN LAYER
7064,CYTOPATH CERV/VAG THIN LAYER REDO
7065,CODE DELETED FOR 2003
7066,CODE DELETED FOR 2003
7067,CYTOPATH SMEAR CERV/VAG AUTOMATED
7068,"CYTOPATH,C/V,AUTO/MAN RESCREEN"
7069,"CYTOPATH SMEAR CERV/VAG,MANUAL"
7070,"CYTOPATH SMEAR CERV/VAG,AUTO REDO"
7071,CYTOPATH SMEAR CERV/VAG REDO
7072,CYTOPATH SMEAR CERV/VAG SELECT
7073,"CYTOPATH SMEAR CERV/VAG,INDEX ADD-ON"
7074,"CYTOPATH,OTHR SOURC,SCREEN,INTERP"
7075,"CYTOPATH,OTHR SOURC,PREP,SCRN,INTERP"
7076,"CYTOPATH,OTHR SOURC,EXTENSIVE"
7077,CYTOPATH TBS CERV/VAG MANUAL
7078,CYTOPATH TBS CERV/VAG REDO
7079,CYTOPATH TBS CERV/VAG AUTO REDO
7080,CYTOPATH TBS CERV/VAG SELECT
7081,EVALUATION OF FNA SMEAR
7082,INTERPRETATION OF FNA SMEAR
7083,DELETED 2005
5246,CREATE CONJUNC-NASAL FISTULA+STENT
5247,CLOSE TEAR DUCT OPENING
5248,"CLOSE TEAR DUCT OPENING BY PLUG,EA"
5249,CLOSE TEAR SYSTEM FISTULA
5250,DILATION NASOLACRIMAL DUCT
5251,PROBE NASOLACRIMAL DUCT
5252,PROBE NASOLAC DUCT W GEN ANESTH
5253,"PROBE NASOLAC DUCT,INSERT TUBE/STENT"
5254,EXPLORE LACRIMAL CANALICULI
5255,INJECTION FOR TEAR SAC X-RAY
5256,TEAR DUCT SYSTEM SURG UNLISTED
5257,"DRAIN EXT EAR ABSC/BLOOD,SIMPLE"
5258,"DRAIN EXT EAR ABSC/BLOOD,COMPLIC"
5259,DRAIN EXT AUD CANAL ABSCESS
5260,PIERCE EARLOBES
5261,BIOPSY OF EXTERNAL EAR
5262,BIOPSY OF EXT AUDITORY CANAL
5263,"REMOVAL EXTERNAL EAR,PARTIAL"
5264,"REMOVAL EXTERNAL EAR,TOTAL"
5265,REMV EXT CANAL EXOSTOSIS
5266,REMV EXT CANAL SOFT TISSUE LESN
5267,RAD EXCIS EXT CANAL LESN
5268,RAD EXCIS EXT CANAL LESN+NECK DISSEC
5269,REMV EXT CANAL FOREIGN BODY
5270,"REMV EXT CANAL F.B.,GEN ANESTH"
5271,REMOVE IMPACTED EAR WAX
5272,"DEBRIDE MASTOID CAVITY,SIMPLE"
5273,"DEBRIDE MASTOID CAVITY,COMPLEX"
5274,REVISE EXTERNAL EAR
5275,"RECONSTRUCTION,EXT AUDITORY CANAL"
5276,"REBUILD EXT AUD CANAL,CONG ANOMALY"
5277,OUTER EAR SURGERY PROC UNLISTED
5278,"TRANSNASAL EUSTACH TUBE INFLATE,CATH"
5279,TRANSNASAL EUSTACH TUBE INFLATE
5280,TRANSTYMPANIC EUSTACH TUBE CATH
5281,INSET MIDDLE EAR BAFFLE
5282,"INCISION EARDRUM,ASPIR"
5283,"INCISION EARDRUM,ASPIR,GEN ANESTH"
5284,VENT TUBE REMVL REQ GEN ANESTHESIA
5285,"CREATE EARDRUM OPENING,LOCAL ANESTH"
5286,"CREATE EARDRUM OPENING,GEN ANESTH"
5287,EXPLORATION OF MIDDLE EAR
5288,EARDRUM REVISION
5289,"MASTOIDECTOMY,SIMPLE"
5290,"MASTOIDECTOMY,COMPLETE"
5291,"MASTOIDECTOMY,MOD RADICAL"
5292,"MASTOIDECTOMY,RADICAL"
5293,"MASTOIDECTOMY,RAD,PETR APICECTOMY"
5294,"RESECT TEMPORAL BONE,EXTERN APPRCH"
5295,REMV AURAL POLYP
5296,"REMV AURAL GLOMUS TUMOR,TRANSCANAL"
5297,"REMV AURAL GLOMUS TUMOR,TRANSMASTOID"
5298,"REMV AURAL GLOMUS,EXTRATEMPORAL"
5299,MASTOIDECT REVISN W COMPLETE REMVAL
5300,MASTOID REVISN ->MOD RAD MASTOIDECT
5301,MASTOID REVISN ->RAD MASTOIDECTOMY
5302,MASTOID REVISN ->TYMPANOPLASTY
5303,MASTOID REVISN W APICECTOMY
5304,REPAIR TYMPANIC MEMBRANE
5305,MYRINGOPLASTY
5306,TYMPANOPLASTY
5307,"TYMPANOPLASTY,REBUILD OSSICUL CHAIN"
5308,"TYMPANOPLASTY,REBLD OSSIC CHAIN+PROS"
5309,TYMPANOPLAS/ANTROTOMY
5310,"TYMPANOPLAS/ANTROT,REBLD OSSIC CHAIN"
5311,"TYMPANOPLAS/ANTROT,REBLD OSSIC+PROST"
5312,TYMPANOPLAS/MASTOIDECTOMY
5313,"TYMPANOPLAS/MASTOIDEC,REBLD OSSICLES"
5314,"TYMPANOPLAS/MASTOIDEC,INTACT WALL"
5315,"TYMPANOPLAS/MASTOID,INTCT WALL,REBLD"
5316,"TYMPANOPLAS/MASTOIDEC,RADICAL/COMPLE"
5317,"TYMPANOPLAS/MASTOIDEC,RAD,REBLD OSSI"
5318,STAPES MOBILIZATION
5319,STAPEDECTOMY
5320,"STAPEDECTOMY,FOOTPLATE DRILL OUT"
5321,REVISE STAPEDECTOMY/STAPEDOTOMY
5322,REPAIR OVAL WINDOW FISTULA
5323,REPAIR ROUND WINDOW FISTULA
5324,MASTOID OBLITERATION
5325,REMOVE MIDDLE EAR NERVE
5326,CLOSE MASTOID POSTAURICULAR FISTULA
5327,"IMPLANT/REPLACE HEAR AID,TEMP BONE"
5328,"REMOVE/REPAIR HEAR AID,TEMP BONE"
5329,"IMPLNT,TEMPORAL BONE,W/EXTRN STIM"
5330,"IMPLNT,TEMPORAL BONE, REMV MASTOID"
5331,"REPLCE IMPLNT,TEMPORAL BONE,W/EXTRN STIM"
5332,"REPLCE IMPLNT,TEMPORAL BONE,REMV MASTOID"
5333,"RELEASE FACIAL NERVE,LAT TO GANGLION"
5334,"RELEASE FACIAL NERVE,MED TO GANGLION"
5335,"REPAIR FACIAL NERVE,LAT TO GANGLION"
5336,"REPAIR FACIAL NERVE,MED TO GANGLION"
5337,MIDDLE EAR SURGERY PROC UNLISTED
5338,LABYRINTHOTOMY
5339,LABYRINTHOTOMY W MASTOIDECTOMY
5340,"ENDOLYMPH SAC OPERATN,NO SHUNT"
5341,ENDOLYMPH SAC OP W SHUNT
5342,CREATE OPENING SEMICIRCULAR CANAL
5343,REVISE FENESTRATION SEMICIRC CANAL
5344,"EXCIS LABYRINTH,TRANSCANAL"
5345,EXCIS LABYRINTH W MASTOIDECTOMY
5346,"INCISE VESTIBULAR NERVE,TRANSLABYR"
5347,IMPLANT COCHLEAR DEVICE
5348,INNER EAR SURGERY PROC UNLISTED
5349,"VESTIBULAR NERV SECTN,TRANSCRANIAL"
5350,"DECOMPRESS FACIAL NERVE,TOTAL"
5351,DECOMPRESS INTERN AUDITORY CANAL
5352,"REMOVE TUMOR,TEMPORAL BONE"
5353,"TEMPORAL BONE,MIDDLE,SURG UNLISTED"
5354,"MICROSURG TECHNIQUES,REQ OPER MICROSCOPE"
5355,MYELOGRAPHY POST FOSSA
5356,"CISTERNOGRAPHY,POS CONTRAST"
5357,X-RAY EYE FOR FOREIGN BODY
5358,X-RAY JAW <4 VW
5359,X-RAY JAW 4+ VW
5360,X-RAY MASTOIDS <3 VW
5361,X-RAY MASTOIDS 3+ VW
5362,X-RAY MIDDLE EAR
5363,X-RAY FACIAL BONES <3 VW
5364,X-RAY FACIAL BONES 3+ VW
5365,X-RAY NASAL BONES
5366,X-RAY TEAR DUCT
5367,X-RAY OPTIC FORAMEN
5368,X-RAY ORBITS
5369,X-RAY SINUSES <3 VW
5370,X-RAY SINUSES 3+ VW
5371,X-RAY EXAM SELLA
5372,X-RAY SKULL <4 VW
5373,X-RAY SKULL 4+ VW
1,DELETED 2005
2,DELETED 2004
3,CERVICOGRAPHY
4,DELETED 2005
5,DELETED 2005
6,DELETED 2005
7,"UP GI ENDOSCOP, W/SUTURE ESOPHAGOGAS JCT"
8,DELETED 2005
13,"TB TEST, CELL MED IMM, GAMMA INTERFER AG"
17,DELETED 2005
18,DELETED 2005
25,DELETED 2005
29,"DESTR LOC LES, CHOROIDS, TRANSPUP THERM"
34,"DESTR, MACULAR DRUSEN, PHOTOCOAGULATION"
35,"DELIV FOC MAG PUL, DR STIM, CORT NEURONS"
38,EXTRACORP SHOCK WAVE THER; MUSCSKEL SYS
39,EXTRACORP SHOCK WAVE THER; PLANT FASCIA
46,"INSERT, TRANSCERV FETAL OXIMETRY PROBE"
49,"DRUG SUS PHEN PRED, GENOTYPIC COMP HIV 1"
50,"NON-SUR SEPT RED W/COR ARTER, W/WO PACER"
51,DELETED 2004
52,"LIPOPROTEIN, DIR MEAS IDL (REMNANT)"
240,ONBASE INSURANCE PAYMENT (E)
527,LEGACY TRANSFER DEBIT
627,ONBASE INSURANCE CREDIT RECOVERY
631,NURSING TO HOLD PRBCS (UNITS) - ACTIVE BLEEDING PT.
641,NURSING TO HOLD PRBCS (ML) NICU
802,MTP-MASS TRANSFUSION PROTOCOL
3536,"SIGMOIDOSCOPY,REMV LESN,FORCEP/CAUT"
3537,"SIGMOIDOSCOPY,FLEX,W/CONTROL,BLEEDING"
3538,"SIGMOIDOSCOPY,DECOMPRESS VOLVULUS"
3539,"SIGMOIDOSCOPY,REMV LESN,SNARE"
3540,"SIGMOIDOSCOPY,ABLATE LESN"
3541,SIGMOIDOSCOPY W/ENDOSCOPIC US EXAM
3542,"SIGMOIDOSCOPY,FINE NEEDL BX,US GUIDED"
3543,"SIGMOIDOSCOPY,TRANSENDOSCOPIC STENT"
3544,COLONOSCOPY THRU COLOTOMY
3545,"COLONOSCOPY,DIAGNOSTIC"
3546,"COLONOSCOPY,REMV FOREIGN BODY"
3547,"COLONOSCOPY,BIOPSY"
3548,"COLONOSCOPY,FLEX,W/CONTROL, BLEEDING"
3549,"COLONOSCOPY,ABLATE LESION"
3550,"COLONOSCOPY,REMV LESN,FORCEP/CAUTERY"
3551,"COLONOSCOPY,REMV LESN,SNARE"
3552,"COLONOSCOPY,TRANSENDOSCOPIC STENT"
3553,"REPAIR OF RECTUM,STENOSIS"
3554,"REPAIR OF RECTUM,PROLAPSE MUCOSA"
3555,"SCLEROSIS PERIRECTAL,PROLAPSE"
3556,"FIX RECTAL PROLAPSE,ABD APPRCH"
3557,"FIX RECTAL PROLAPSE,PERINEAL APPR"
3558,REPAIR RECTUM; REMOVE SIGMOID
3559,REPAIR OF RECTOCELE
3560,EXPLOR/REPAIR RECTUM INJURY
3561,"EXPLOR/REPAIR RECTUM,INJ,COLOSTOMY"
3562,CLOSE RECTUM-BLADDER FISTULA
3563,CLOSE REC-BLADD FISTULA; COLOSTOMY
3564,CLOSE RECTOURETHRAL FISTULA
3565,CLOSE REC-URETHR FISTULA; COLOSTOMY
3566,REDUCTION RECTAL PROLAPSE W ANESTHE
3567,DILATION ANAL SPHINCTER W ANESTH
3568,DILATION RECTAL STRICTURE W ANEST
3569,REMV RECTAL OBSTR:FECES/F.B. W ANEST
3570,RECTUM SURGERY PROCEDURE UNLISTED
3571,"PLACEMENT,SETON"
3572,REMOVAL OF RECTAL MARKER
3573,I&D PERIRECTAL ABSCESS
3574,I&D RECTAL WALL ABSCESS W ANESTH
3575,"I&D PERIANAL ABSCESS,SUPERFICIAL"
3576,I&D RECTAL ABSCESS + FISTULECTOMY
3577,"INCISION OF ANAL SEPTUM, INFANT"
3578,ANAL SPHINCTEROTOMY
3579,INCISE EXTERNAL HEMORRHOID
3580,REMOVAL OF ANAL FISSURE
3581,REMOVAL OF ANAL CRYPT
3582,REMOVAL OF ANAL CRYPTS
3583,REMOVAL OF ANAL TAB
3584,LIGATION OF HEMORRHOID(S)
3585,REMOVAL OF ANAL TABS
3586,"HEMORRHOIDECTOMY,EXTERNAL"
3587,"HEMORRHOIDECTOMY,INT/EXT,SIMPLE"
3588,REMOVE HEMORRHOIDS & FISSURE
3589,REMOVE HEMORRHOIDS & FISTULA
3590,"HEMORRHOIDECTOMY,INT/EXT,COMPLX"
3591,"REMOVE HEMORRHOIDS/FISSURE,COMPLX"
3592,"REMOVE HEMORRHOIDS/FISTULA,COMPLX"
3593,"REMOVAL ANAL FISTULA,SUBCUTANEOUS"
3594,"REMOVAL ANAL FISTULA,SUBMUSCULAR"
3595,"REMOVAL ANAL FISTULA,COMPLEX/MULTI"
3596,"REMOVAL ANAL FISTULA,SECOND STAGE"
3597,"REPAIR  ANAL FISTULA,RECT ADV FLAP"
3598,REMOVAL OF HEMORRHOID CLOT
3599,INJECT SCLEROS SOLN IN HEMORRHOIDS
3600,DIAGNOSTIC ANOSCOPY
3601,"ANOSCOPY,W/DILATION"
3602,ANOSCOPY AND BIOPSY
3603,"ANOSCOPY,REMOVE FOREIGN BODY"
3604,"ANOSCOPY,REMOVE LESN,FORCEPS/CAUTER"
3605,"ANOSCOPY,REMOVE LESN,SNARE"
3606,"ANOSCOPY,REMOVE LESIONS"
3607,"ANOSCOPY,W/CONTROL,BLEEDING"
3608,"ANOSCOPY,ABLATE LESION"
3609,"REPAIR ANAL STRICTURE,ADULT"
3610,"REPAIR ANAL STRICTURE,INFANT"
3611,REPR LO IMPERF ANUS W FISTULA
3612,REPR LO IMPERF ANUS W TRANSPOSTN
3613,REPR HI IMPERF ANUS
3614,"REPR HI IMPERF ANUS,COMBINED APPRCH"
3615,"REPR HI IMPERF ANUS,W FISTULA"
3616,"REPR HI IMPERF ANUS,FIST,COMBINED"
3617,"REPR CLOACAL ANOMALY,SACROPERINEAL"
3618,"REPR CLOACAL ANOMALY,COMBINED APPRC"
3619,"REPR CLOACAL ANOMALY,VAGINAL LENGTH"
3620,"REPAIR OF ANAL SPHINCTER,ADULT"
3621,"REPAIR OF ANAL SPHINCTER,CHILD"
3622,"RECONSTRUCTION OF ANUS,GRAFT"
3623,REMOVAL OF SUTURE/WIRE FROM ANUS
3624,"REPR ANAL SPHINCTER,MUSC TRANSPLANT"
3625,"REPR ANAL SPHINC,LEVATR MUSC IMBRIC"
3626,IMPLANT ARTIFICIAL SPHINCTER
3627,"DESTRUCT,ANAL LESN(S),SIMPLE,CHEM"
3628,"ELECTRODESSICATN,ANAL LESN(S)"
3629,"CRYOSURGERY, ANAL LESION(S)"
3630,"LASER SURGERY, ANAL LESION(S)"
7084,"CELL MARKER STUDY,DNA"
7085,CYTOPATH PROCEDURE UNLISTED
7086,"TISSUE CULTURE, LYMPHOCYTE"
7087,"TISSUE CULTURE, SKIN/BIOPSY"
7088,"TISSUE CULTURE, PLACENTA"
7089,"TISSUE CULTURE, BONE MARROW"
7090,"TISSUE CULTURE, TUMOR"
7091,CELL CRYOPRESERVE/STORAGE
7092,FROZEN CELL PREPARATION
7093,"CHROMOSOME ANAL:BREAKGE,20-25 CELLS"
7094,"CHROMOSOME ANAL:BREAKGE,50-100 CELLS"
7095,"CHROMOSOME ANAL:BREAKGE,100 CELLS"
7096,"CHROMOSOME ANAL:5 CELLS,1 KARYOTYPE"
7097,"CHROMOSOME ANAL:15-20,2 KARYOTYPES"
7098,"CHROMOSOME ANAL:45 CELLS,MOSAICISM"
7099,CHROMOSOME ANALYSIS:20-25
7100,CHROMOSOME ANALY:PLACENTA
7101,CHROMOSOME ANALY:AMNIOTIC
7102,"CYTOGENETICS, DNA PROBE"
7103,"CYTOGENETICS, 3-5"
7104,"CYTOGENETICS, 10-30"
7105,"CYTOGENETICS, 25-99"
7106,"CYTOGENETICS, 100-300"
7107,CHROMOSOME KARYOTYPE STUDY
7108,CHROMOSOME BANDING STUDY
